 invoiceno,stockcode,description,quantity,invoicedate,unitprice,revenue,customerid,country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 08:26:00.000000 UTC,2.55,15.3,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,2010-12-01 08:26:00.000000 UTC,3.39,20.34,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 08:26:00.000000 UTC,2.75,22.0,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 08:26:00.000000 UTC,3.39,20.34,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 08:26:00.000000 UTC,3.39,20.34,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 08:26:00.000000 UTC,7.65,15.3,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 08:26:00.000000 UTC,4.25,25.5,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,2010-12-01 08:28:00.000000 UTC,1.85,11.1,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 08:28:00.000000 UTC,1.85,11.1,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 08:34:00.000000 UTC,1.69,54.08,13047,United Kingdom
536367,22745,POPPY'S PLAYHOUSE BEDROOM,6,2010-12-01 08:34:00.000000 UTC,2.1,12.6,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,2010-12-01 08:34:00.000000 UTC,2.1,12.6,13047,United Kingdom
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,2010-12-01 08:34:00.000000 UTC,3.75,30.0,13047,United Kingdom
536367,22310,IVORY KNITTED MUG COSY,6,2010-12-01 08:34:00.000000 UTC,1.65,9.9,13047,United Kingdom
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,2010-12-01 08:34:00.000000 UTC,4.25,25.5,13047,United Kingdom
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS,3,2010-12-01 08:34:00.000000 UTC,4.95,14.85,13047,United Kingdom
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,2010-12-01 08:34:00.000000 UTC,9.95,19.9,13047,United Kingdom
536367,21754,HOME BUILDING BLOCK WORD,3,2010-12-01 08:34:00.000000 UTC,5.95,17.85,13047,United Kingdom
536367,21755,LOVE BUILDING BLOCK WORD,3,2010-12-01 08:34:00.000000 UTC,5.95,17.85,13047,United Kingdom
536367,21777,RECIPE BOX WITH METAL HEART,4,2010-12-01 08:34:00.000000 UTC,7.95,31.8,13047,United Kingdom
536367,48187,DOORMAT NEW ENGLAND,4,2010-12-01 08:34:00.000000 UTC,7.95,31.8,13047,United Kingdom
536368,22960,JAM MAKING SET WITH JARS,6,2010-12-01 08:34:00.000000 UTC,4.25,25.5,13047,United Kingdom
536368,22913,RED COAT RACK PARIS FASHION,3,2010-12-01 08:34:00.000000 UTC,4.95,14.85,13047,United Kingdom
536368,22912,YELLOW COAT RACK PARIS FASHION,3,2010-12-01 08:34:00.000000 UTC,4.95,14.85,13047,United Kingdom
536368,22914,BLUE COAT RACK PARIS FASHION,3,2010-12-01 08:34:00.000000 UTC,4.95,14.85,13047,United Kingdom
536369,21756,BATH BUILDING BLOCK WORD,3,2010-12-01 08:35:00.000000 UTC,5.95,17.85,13047,United Kingdom
536370,22728,ALARM CLOCK BAKELIKE PINK,24,2010-12-01 08:45:00.000000 UTC,3.75,90.0,12583,France
536370,22727,ALARM CLOCK BAKELIKE RED,24,2010-12-01 08:45:00.000000 UTC,3.75,90.0,12583,France
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,2010-12-01 08:45:00.000000 UTC,3.75,45.0,12583,France
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,2010-12-01 08:45:00.000000 UTC,0.85,10.2,12583,France
536370,21883,STARS GIFT TAPE,24,2010-12-01 08:45:00.000000 UTC,0.65,15.6,12583,France
536370,10002,INFLATABLE POLITICAL GLOBE,48,2010-12-01 08:45:00.000000 UTC,0.85,40.8,12583,France
536370,21791,VINTAGE HEADS AND TAILS CARD GAME,24,2010-12-01 08:45:00.000000 UTC,1.25,30.0,12583,France
536370,21035,SET/2 RED RETROSPOT TEA TOWELS,18,2010-12-01 08:45:00.000000 UTC,2.95,53.1,12583,France
536370,22326,ROUND SNACK BOXES SET OF4 WOODLAND,24,2010-12-01 08:45:00.000000 UTC,2.95,70.8,12583,France
536370,22629,SPACEBOY LUNCH BOX,24,2010-12-01 08:45:00.000000 UTC,1.95,46.8,12583,France
536370,22659,LUNCH BOX I LOVE LONDON,24,2010-12-01 08:45:00.000000 UTC,1.95,46.8,12583,France
536370,22631,CIRCUS PARADE LUNCH BOX,24,2010-12-01 08:45:00.000000 UTC,1.95,46.8,12583,France
536370,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,20,2010-12-01 08:45:00.000000 UTC,0.85,17.0,12583,France
536370,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2010-12-01 08:45:00.000000 UTC,1.65,39.6,12583,France
536370,22900,SET 2 TEA TOWELS I LOVE LONDON,24,2010-12-01 08:45:00.000000 UTC,2.95,70.8,12583,France
536370,21913,VINTAGE SEASIDE JIGSAW PUZZLES,12,2010-12-01 08:45:00.000000 UTC,3.75,45.0,12583,France
536370,22540,MINI JIGSAW CIRCUS PARADE,24,2010-12-01 08:45:00.000000 UTC,0.42,10.08,12583,France
536370,22544,MINI JIGSAW SPACEBOY,24,2010-12-01 08:45:00.000000 UTC,0.42,10.08,12583,France
536370,22492,MINI PAINT SET VINTAGE,36,2010-12-01 08:45:00.000000 UTC,0.65,23.4,12583,France
536370,POST,POSTAGE,3,2010-12-01 08:45:00.000000 UTC,18.0,54.0,12583,France
536371,22086,PAPER CHAIN KIT 50'S CHRISTMAS,80,2010-12-01 09:00:00.000000 UTC,2.55,204.0,13748,United Kingdom
536372,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:01:00.000000 UTC,1.85,11.1,17850,United Kingdom
536372,22633,HAND WARMER UNION JACK,6,2010-12-01 09:01:00.000000 UTC,1.85,11.1,17850,United Kingdom
536373,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:02:00.000000 UTC,2.55,15.3,17850,United Kingdom
536373,71053,WHITE METAL LANTERN,6,2010-12-01 09:02:00.000000 UTC,3.39,20.34,17850,United Kingdom
536373,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:02:00.000000 UTC,2.75,22.0,17850,United Kingdom
536373,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:02:00.000000 UTC,4.95,29.7,17850,United Kingdom
536373,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:02:00.000000 UTC,1.06,6.36,17850,United Kingdom
536373,21871,SAVE THE PLANET MUG,6,2010-12-01 09:02:00.000000 UTC,1.06,6.36,17850,United Kingdom
536373,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:02:00.000000 UTC,1.06,6.36,17850,United Kingdom
536373,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:02:00.000000 UTC,1.06,6.36,17850,United Kingdom
536373,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:02:00.000000 UTC,4.95,9.9,17850,United Kingdom
536373,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:02:00.000000 UTC,6.95,27.8,17850,United Kingdom
536373,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:02:00.000000 UTC,2.1,12.6,17850,United Kingdom
536373,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 09:02:00.000000 UTC,2.55,15.3,17850,United Kingdom
536373,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:02:00.000000 UTC,3.39,20.34,17850,United Kingdom
536373,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:02:00.000000 UTC,3.39,20.34,17850,United Kingdom
536373,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:02:00.000000 UTC,7.65,15.3,17850,United Kingdom
536373,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:02:00.000000 UTC,4.25,25.5,17850,United Kingdom
536374,21258,VICTORIAN SEWING BOX LARGE,32,2010-12-01 09:09:00.000000 UTC,10.95,350.4,15100,United Kingdom
536375,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 09:32:00.000000 UTC,2.55,15.3,17850,United Kingdom
536375,71053,WHITE METAL LANTERN,6,2010-12-01 09:32:00.000000 UTC,3.39,20.34,17850,United Kingdom
536375,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-12-01 09:32:00.000000 UTC,2.75,22.0,17850,United Kingdom
536375,20679,EDWARDIAN PARASOL RED,6,2010-12-01 09:32:00.000000 UTC,4.95,29.7,17850,United Kingdom
536375,37370,RETRO COFFEE MUGS ASSORTED,6,2010-12-01 09:32:00.000000 UTC,1.06,6.36,17850,United Kingdom
536375,21871,SAVE THE PLANET MUG,6,2010-12-01 09:32:00.000000 UTC,1.06,6.36,17850,United Kingdom
536375,21071,VINTAGE BILLBOARD DRINK ME MUG,6,2010-12-01 09:32:00.000000 UTC,1.06,6.36,17850,United Kingdom
536375,21068,VINTAGE BILLBOARD LOVE/HATE MUG,6,2010-12-01 09:32:00.000000 UTC,1.06,6.36,17850,United Kingdom
536375,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 09:32:00.000000 UTC,4.95,9.9,17850,United Kingdom
536375,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 09:32:00.000000 UTC,6.95,27.8,17850,United Kingdom
536375,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 09:32:00.000000 UTC,2.1,12.6,17850,United Kingdom
536375,82494L,WOODEN FRAME ANTIQUE WHITE,6,2010-12-01 09:32:00.000000 UTC,2.55,15.3,17850,United Kingdom
536375,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2010-12-01 09:32:00.000000 UTC,3.39,20.34,17850,United Kingdom
536375,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-12-01 09:32:00.000000 UTC,3.39,20.34,17850,United Kingdom
536375,22752,SET 7 BABUSHKA NESTING BOXES,2,2010-12-01 09:32:00.000000 UTC,7.65,15.3,17850,United Kingdom
536375,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-12-01 09:32:00.000000 UTC,4.25,25.5,17850,United Kingdom
536376,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,2010-12-01 09:32:00.000000 UTC,3.45,165.6,15291,United Kingdom
536376,21733,RED HANGING HEART T-LIGHT HOLDER,64,2010-12-01 09:32:00.000000 UTC,2.55,163.2,15291,United Kingdom
536377,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 09:34:00.000000 UTC,1.85,11.1,17850,United Kingdom
536377,22633,HAND WARMER UNION JACK,6,2010-12-01 09:34:00.000000 UTC,1.85,11.1,17850,United Kingdom
536378,22386,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00.000000 UTC,1.95,19.5,14688,United Kingdom
536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-01 09:37:00.000000 UTC,1.95,19.5,14688,United Kingdom
536378,21033,JUMBO BAG CHARLIE AND LOLA TOYS,10,2010-12-01 09:37:00.000000 UTC,2.95,29.5,14688,United Kingdom
536378,20723,STRAWBERRY CHARLOTTE BAG,10,2010-12-01 09:37:00.000000 UTC,0.85,8.5,14688,United Kingdom
536378,84997B,RED 3 PIECE RETROSPOT CUTLERY SET,12,2010-12-01 09:37:00.000000 UTC,3.75,45.0,14688,United Kingdom
536378,84997C,BLUE 3 PIECE POLKADOT CUTLERY SET,6,2010-12-01 09:37:00.000000 UTC,3.75,22.5,14688,United Kingdom
536378,21094,SET/6 RED SPOTTY PAPER PLATES,12,2010-12-01 09:37:00.000000 UTC,0.85,10.2,14688,United Kingdom
536378,20725,LUNCH BAG RED RETROSPOT,10,2010-12-01 09:37:00.000000 UTC,1.65,16.5,14688,United Kingdom
536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-01 09:37:00.000000 UTC,2.55,15.3,14688,United Kingdom
536378,22352,LUNCH BOX WITH CUTLERY RETROSPOT,6,2010-12-01 09:37:00.000000 UTC,2.55,15.3,14688,United Kingdom
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00.000000 UTC,0.42,50.4,14688,United Kingdom
536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 09:37:00.000000 UTC,0.55,13.2,14688,United Kingdom
536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:37:00.000000 UTC,0.55,13.2,14688,United Kingdom
536378,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 09:37:00.000000 UTC,0.55,13.2,14688,United Kingdom